t,x1,y1,z1,x2,y2,z2,dx,dy,dz,cal_x,cal_y,cal_z
1759751872.0705097,3973.81,-2055.42,1000.67,-37.26,62.5,35.82,4011.07,-1992.92,1036.49,-1041.668000000001,-138.54450000000088,859.2855
1759751872.1300092,3978.62,-2055.42,997.28,-37.26,63.71,37.99,4015.88,-1991.71,1035.27,-1036.858000000001,-137.33450000000084,858.0654999999999
1759751872.2508695,3983.43,-2054.22,994.14,-37.26,62.5,38.72,4020.69,-1991.7199999999998,1032.86,-1032.0480000000011,-137.3445000000006,855.6554999999998
1759751872.3116717,3988.24,-2051.81,985.91,-37.26,62.5,37.75,4025.5,-1989.31,1023.66,-1027.2380000000012,-134.93450000000075,846.4554999999999
1759751872.371343,3993.04,-2049.41,975.74,-37.26,62.5,36.06,4030.3,-1986.9099999999999,1011.8,-1022.438000000001,-132.53450000000066,834.5954999999999
1759751872.4302707,3997.85,-2049.41,978.16,-37.26,62.5,36.3,4035.11,-1986.9099999999999,1014.4599999999999,-1017.6280000000011,-132.53450000000066,837.2554999999999
1759751872.550478,4002.66,-2048.21,975.26,-37.26,62.5,36.78,4039.92,-1985.71,1012.04,-1012.8180000000011,-131.33450000000084,834.8354999999999
1759751872.6109138,4007.47,-2044.6,968.97,-36.06,61.3,36.78,4043.5299999999997,-1983.3,1005.75,-1009.2080000000014,-128.92450000000076,828.5455
1759751872.6710136,4013.48,-2044.6,966.55,-37.26,63.71,38.24,4050.7400000000002,-1980.8899999999999,1004.79,-1001.998000000001,-126.51450000000068,827.5854999999999
1759751872.7913148,4014.68,-2044.6,963.89,-37.26,62.5,37.27,4051.94,-1982.1,1001.16,-1000.7980000000011,-127.72450000000072,823.9554999999999
1759751872.8510604,4018.29,-2042.2,955.42,-37.26,62.5,37.51,4055.55,-1979.7,992.93,-997.188000000001,-125.32450000000085,815.7254999999999
1759751872.9110334,4021.89,-2039.79,950.09,-37.26,61.3,38.24,4059.15,-1978.49,988.33,-993.5880000000011,-124.11450000000082,811.1255
1759751872.9707558,4025.5,-2039.79,949.85,-38.46,62.5,37.03,4063.96,-1977.29,986.88,-988.7780000000012,-122.91450000000077,809.6754999999999
1759751873.0908413,4031.51,-2037.39,944.53,-37.26,62.5,37.03,4068.7700000000004,-1974.89,981.56,-983.9680000000008,-120.51450000000091,804.3554999999999
1759751873.1509836,4035.11,-2037.39,939.2,-36.06,62.5,38.48,4071.17,-1974.89,977.6800000000001,-981.5680000000011,-120.51450000000091,800.4755
1759751873.2112465,4036.32,-2036.19,936.54,-37.26,63.71,37.75,4073.5800000000004,-1972.48,974.29,-979.1580000000008,-118.10450000000083,797.0854999999999
1759751873.3315616,4038.72,-2031.38,974.05,-36.06,62.5,39.93,4074.7799999999997,-1968.88,1013.9799999999999,-977.9580000000014,-114.50450000000092,836.7754999999999
1759751873.3910415,3919.72,-2012.15,1028.02,-37.26,62.5,37.03,3956.98,-1949.65,1065.05,-1095.7580000000012,-95.2745000000009,887.8454999999999
